PID,audiofile_name,true_generation_method,generation_method,Rater1,Rater2,Rater3
P0,ASV_Audio/DF_E_4695932-FAKE.wav,computer,computer,Robotic,Robotic,
P0,ASV_Audio/DF_E_4871250-REAL.wav,human,human,Speaking Style,Speaking Style,
P0,ASV_Audio/DF_E_4061883-FAKE.wav,computer,computer,Robotic,Robotic,
P0,ASV_Audio/DF_E_4966867-FAKE.wav,computer,computer,Speaking Style,Speaking Style,
P0,ASV_Audio/DF_E_3793445-REAL.wav,human,human,Human-Like,Human-Like,
P0,ASV_Audio/DF_E_4882496-REAL.wav,human,human,Speaking Style,Speaking Style,
P0,ASV_Audio/DF_E_4037881-REAL.wav,human,human,Liveliness,Liveliness,
P0,ASV_Audio/DF_E_4759870-FAKE.wav,computer,human,Speaking Style,Speaking Style,
P0,ASV_Audio/DF_E_2094972-FAKE.wav,computer,human,No Reason,No Reason,
P0,ASV_Audio/DF_E_3938367-FAKE.wav,computer,computer,Robotic,Robotic,
P0,ASV_Audio/DF_E_3768885-REAL.wav,human,human,No Reason,No Reason,
P0,ASV_Audio/DF_E_2059633-FAKE.wav,computer,computer,Quality,Quality,
P0,ASV_Audio/DF_E_2419046-FAKE.wav,computer,computer,Speaking Style,Bad Response,
P0,ASV_Audio/DF_E_2774773-REAL.wav,human,human,Human-Like,Human-Like,
P0,ASV_Audio/DF_E_2510850-REAL.wav,human,human,Speaking Style,Speaking Style,
P0,ASV_Audio/DF_E_2000503-REAL.wav,human,human,Quality,Robotic,
P0,ASV_Audio/DF_E_4132844-REAL.wav,human,human,Liveliness,Liveliness,
P0,ASV_Audio/DF_E_3453403-FAKE.wav,computer,human,Bad Response,No Reason,
P0,ASV_Audio/DF_E_3870351-REAL.wav,human,computer,Speed,Speed,
P0,ASV_Audio/DF_E_4702263-REAL.wav,human,computer,Speed,Speed,
P4,ASV_Audio/DF_E_4557629-FAKE.wav,computer,computer,Quality,Prosody,
P4,ASV_Audio/DF_E_3233139-REAL.wav,human,human,Human-Like,Human-Like,
P4,ASV_Audio/DF_E_4051776-REAL.wav,human,human,Prosody,Prosody,
P4,ASV_Audio/DF_E_3854713-FAKE.wav,computer,computer,Prosody,Robotic,
P4,ASV_Audio/DF_E_3870238-REAL.wav,human,human,Prosody,Prosody,
P4,ASV_Audio/DF_E_2820812-FAKE.wav,computer,computer,Quality,Quality,
P4,ASV_Audio/DF_E_4503662-FAKE.wav,computer,human,Prosody,Quality,
P4,ASV_Audio/DF_E_4858590-FAKE.wav,computer,computer,Quality,Robotic,
P4,ASV_Audio/DF_E_2137688-REAL.wav,human,human,Prosody,Human-Like,
P4,ASV_Audio/DF_E_2856221-FAKE.wav,computer,human,Quality,Quality,
P4,ASV_Audio/DF_E_4419807-FAKE.wav,computer,human,Liveliness,Liveliness,
P4,ASV_Audio/DF_E_2588877-FAKE.wav,computer,computer,Robotic,Robotic,
P4,ASV_Audio/DF_E_2746534-REAL.wav,human,computer,Prosody,Prosody,
P4,ASV_Audio/DF_E_3698827-REAL.wav,human,human,Liveliness,Liveliness,
P4,ASV_Audio/DF_E_2123969-REAL.wav,human,human,Liveliness,Liveliness,
P4,ASV_Audio/DF_E_3820763-REAL.wav,human,human,Liveliness,Liveliness,
P4,ASV_Audio/DF_E_3029408-FAKE.wav,computer,computer,Quality,Quality,
P4,ASV_Audio/DF_E_3610215-FAKE.wav,computer,computer,Robotic,Robotic,
P4,ASV_Audio/DF_E_2047999-FAKE.wav,computer,human,Human-Like,Human-Like,
P4,ASV_Audio/DF_E_2382820-FAKE.wav,computer,computer,Liveliness,Liveliness,
P7,ASV_Audio/DF_E_2494854-FAKE.wav,computer,computer,Prosody,Speaking Style,
P7,ASV_Audio/DF_E_4891992-FAKE.wav,computer,computer,Prosody,Prosody,
P7,ASV_Audio/DF_E_2638873-FAKE.wav,computer,computer,Prosody,Quality,
P7,ASV_Audio/DF_E_4265836-FAKE.wav,computer,human,Speed,Speed,
P7,ASV_Audio/DF_E_4755903-FAKE.wav,computer,human,Quality,Speaking Style,
P7,ASV_Audio/DF_E_3255601-REAL.wav,human,human,Human-Like,Human-Like,
P7,ASV_Audio/DF_E_2271859-FAKE.wav,computer,computer,Prosody,Prosody,
P7,ASV_Audio/DF_E_4685660-REAL.wav,human,human,Liveliness,Liveliness,
P7,ASV_Audio/DF_E_4016566-FAKE.wav,computer,computer,Disfluency,Disfluency,
P7,ASV_Audio/DF_E_3006921-FAKE.wav,computer,human,Prosody,Prosody,
P7,ASV_Audio/DF_E_3937952-FAKE.wav,computer,computer,Prosody,Prosody,
P7,ASV_Audio/DF_E_2751354-FAKE.wav,computer,computer,Speaking Style,Speaking Style,
P7,ASV_Audio/DF_E_4599840-REAL.wav,human,human,Liveliness,Liveliness,
P7,ASV_Audio/DF_E_2754692-REAL.wav,human,human,Prosody,Human-Like,
P7,ASV_Audio/DF_E_3941236-REAL.wav,human,computer,Prosody,Prosody,
P7,ASV_Audio/DF_E_4304398-FAKE.wav,computer,computer,Prosody,Speed,
P7,ASV_Audio/DF_E_3007096-FAKE.wav,computer,computer,Speed,Speed,
P7,ASV_Audio/DF_E_3650356-FAKE.wav,computer,computer,Prosody,Prosody,
P7,ASV_Audio/DF_E_4924311-REAL.wav,human,human,Prosody,Liveliness,
P7,ASV_Audio/DF_E_4992590-REAL.wav,human,computer,Prosody,Prosody,
P9,ASV_Audio/DF_E_2449758-FAKE.wav,computer,human,Speaking Style,Speaking Style,
P9,ASV_Audio/DF_E_3511668-REAL.wav,human,computer,Quality,Quality,
P9,ASV_Audio/DF_E_2652168-REAL.wav,human,human,Prosody,Prosody,
P9,ASV_Audio/DF_E_3304329-FAKE.wav,computer,computer,Robotic,Robotic,
P9,ASV_Audio/DF_E_4333051-REAL.wav,human,computer,Robotic,Robotic,
P9,ASV_Audio/DF_E_4537586-REAL.wav,human,human,Human-Like,Human-Like,
P9,ASV_Audio/DF_E_3355223-FAKE.wav,computer,computer,Prosody,Prosody,
P9,ASV_Audio/DF_E_2190159-FAKE.wav,computer,human,Human-Like,Human-Like,
P9,ASV_Audio/DF_E_3350095-REAL.wav,human,human,Prosody,Prosody,
P9,ASV_Audio/DF_E_4479367-FAKE.wav,computer,human,Human-Like,Human-Like,
P9,ASV_Audio/DF_E_2429885-REAL.wav,human,human,Prosody,Prosody,
P9,ASV_Audio/DF_E_4985258-FAKE.wav,computer,computer,Robotic,Robotic,
P9,ASV_Audio/DF_E_3356104-REAL.wav,human,human,Human-Like,Human-Like,
P9,ASV_Audio/DF_E_2098691-FAKE.wav,computer,human,Human-Like,Human-Like,
P9,ASV_Audio/DF_E_2956375-REAL.wav,human,human,Human-Like,Human-Like,
P9,ASV_Audio/DF_E_3955888-REAL.wav,human,human,Bad Response,Human-Like,
P9,ASV_Audio/DF_E_4765796-REAL.wav,human,human,Human-Like,Human-Like,
P9,ASV_Audio/DF_E_2450564-REAL.wav,human,human,Bad Response,Bad Response,
P9,ASV_Audio/DF_E_4846205-FAKE.wav,computer,human,Prosody,Prosody,
P9,ASV_Audio/DF_E_4699767-REAL.wav,human,human,Prosody,Prosody,
P15,ASV_Audio/DF_E_4341398-REAL.wav,human,human,Prosody,Prosody,
P15,ASV_Audio/DF_E_3844474-FAKE.wav,computer,computer,Prosody,Prosody,
P15,ASV_Audio/DF_E_3633951-REAL.wav,human,human,Liveliness,Liveliness,
P15,ASV_Audio/DF_E_3320160-FAKE.wav,computer,human,Liveliness,Liveliness,
P15,ASV_Audio/DF_E_2933296-REAL.wav,human,human,Liveliness,Liveliness,
P15,ASV_Audio/DF_E_4460819-REAL.wav,human,human,Liveliness,Liveliness,
P15,ASV_Audio/DF_E_3136736-REAL.wav,human,human,Liveliness,Liveliness,
P15,ASV_Audio/DF_E_2751944-REAL.wav,human,human,Speaking Style,Speaking Style,
P15,ASV_Audio/DF_E_2237121-FAKE.wav,computer,computer,Prosody,Prosody,
P15,ASV_Audio/DF_E_4198414-REAL.wav,human,human,Liveliness,Liveliness,
P15,ASV_Audio/DF_E_3716451-FAKE.wav,computer,computer,Robotic,Robotic,
P15,ASV_Audio/DF_E_3085782-REAL.wav,human,human,Human-Like,Human-Like,
P15,ASV_Audio/DF_E_4288209-REAL.wav,human,human,No Reason,No Reason,
P15,ASV_Audio/DF_E_3406905-REAL.wav,human,human,Speaking Style,Speaking Style,
